console-1  | 192.168.4.29 - - [02/Mar/2026:17:59:09 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:59:13 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:59:21 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:07:25 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:07:26 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:07:29 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:12:14 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:12:25 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:13:05 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:13:10 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:13:27 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:13:58 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:14:09 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:18:14:46 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.62 - - [02/Mar/2026:18:15:18 +0000] "GET /rules HTTP/1.1" 200 2282 "http://192.168.4.68:8080/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
console-1  | 192.168.4.62 - - [02/Mar/2026:18:15:18 +0000] "GET /rules HTTP/1.1" 200 2282 "http://192.168.4.68:8080/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
